date,Open,High,Low,Close,Volume,avg-block-size,n-transactions-per-block,n-payments-per-block,transactions-per-second,blocks-size,hash-rate,difficulty,monthly-btc-trend,daily-btc-trend
2018-01-15,13767.2998046875,14445.5,13641.7001953125,13819.7998046875,12750799872.0,1.05933004666667,1824.15333333333,3681.866666666667,2.8822916666666765,152526.356471,16612036.0205577,2227847638503.0,81,38
2018-01-16,13836.099609375,13843.099609375,10194.900390625,11490.5,18853799936.0,1.05005422012579,1910.22012578616,3866.9685534591194,3.4918402777777895,152685.278912,17608758.1817911,2227847638503.0,81,77
2018-01-17,11431.099609375,11678.0,9402.2900390625,11188.599609375,18830600192.0,1.06221141317365,1890.84431137725,3790.443113772455,3.8354166666666747,152852.21919,18494733.4362209,2227847638503.0,81,100
2018-01-18,11198.7998046875,12107.2998046875,10942.5,11474.900390625,15020399616.0,1.05084887283237,1788.98843930636,3614.1618497109826,3.652256944444454,153029.607111,19159214.8770432,2227847638503.0,81,72
2018-01-19,11429.7998046875,11992.7998046875,11172.099609375,11607.400390625,10740400128.0,1.04835652121212,1476.47878787879,2937.7818181818184,3.0137152777777865,153211.414962,18273239.6226134,2227847638503.0,81,51
2018-01-20,11656.2001953125,13103.0,11656.2001953125,12899.2001953125,11801700352.0,1.10656858988764,1351.74719101124,2682.123595505618,2.6982638888888992,153384.377157,19712949.4110618,2227847638503.0,81,42
2018-01-21,12889.2001953125,12895.900390625,11288.2001953125,11600.099609375,9935179776.0,1.07749285561497,1153.05882352941,2341.3262032085563,2.4347222222222316,153581.391891,20709671.5722952,2227847638503.0,81,40
2018-01-22,11633.099609375,11966.400390625,10240.2001953125,10931.400390625,10537400320.0,1.08103810179641,1470.43113772455,2893.185628742515,2.3331597222222284,153782.835273,18494733.4362209,2227847638503.0,81,46
2018-01-23,10944.5,11377.599609375,10129.7001953125,10868.400390625,9660609536.0,1.07034465536723,1536.3615819209,2754.5593220338983,2.943576388888895,153963.38635,19602202.504258,2227847638503.0,81,43
2018-01-24,10903.400390625,11501.400390625,10639.7998046875,11359.400390625,9940989952.0,1.06999395454545,1422.85795454545,2704.3863636363635,2.5501736111111213,154152.788631,19491455.5974543,2227847638503.0,81,41
2018-01-25,11421.7001953125,11785.7001953125,11057.400390625,11259.400390625,8873169920.0,1.11032681012658,1497.3417721519,2849.1962025316457,2.706944444444455,154341.167439,20445148.5647756,2460585023617.37,81,39
2018-01-26,11256.0,11656.7001953125,10470.2998046875,11171.400390625,9746199552.0,1.04262729677419,1422.31612903226,2739.8451612903227,2.263541666666676,154516.577488,20056949.5413938,2603077300218.0,81,40
2018-01-27,11174.900390625,11614.900390625,10989.2001953125,11440.7001953125,7583269888.0,1.03854792993631,1232.98089171975,2962.484076433121,1.9149305555555642,154678.175698,20315748.890315,2603077300218.0,81,33
2018-01-28,11475.2998046875,12040.2998046875,11475.2998046875,11786.2998046875,8350360064.0,1.03100884177215,1350.92405063291,2726.5,1.9197916666666763,154841.255481,20445148.5647756,2603077300218.0,81,30
2018-01-29,11755.5,11875.599609375,11179.2001953125,11296.400390625,7107359744.0,1.01817389189189,1568.75675675676,3002.4324324324325,2.5156250000000098,155004.152868,19151151.8201696,2603077300218.0,81,32
2018-01-30,11306.7998046875,11307.2001953125,10036.2001953125,10106.2998046875,8637859840.0,0.987508670658683,1416.82035928144,2598.9700598802397,2.5819444444444537,155153.771754,21609745.6349211,2603077300218.0,81,37
2018-01-31,10108.2001953125,10381.599609375,9777.419921875,10221.099609375,8041160192.0,1.04283131623932,1745.94871794872,3356.2478632478633,2.5298611111111198,155319.061414,15139761.9118908,2603077300218.0,81,38
2018-02-01,10237.2998046875,10288.7998046875,8812.2802734375,9170.5400390625,9959400448.0,1.053963175,1610.4,3043.38125,2.612326388888898,155441.764189,20703947.9136968,2603077300218.0,61,57
2018-02-02,9142.2802734375,9142.2802734375,7796.490234375,8830.75,12726899712.0,1.02247852380952,1404.27380952381,2690.404761904762,2.8835069444444517,155610.347284,21739145.3093817,2603077300218.0,61,81
2018-02-03,8852.1201171875,9430.75,8251.6298828125,9174.91015625,7263790080.0,0.996566860759494,1233.48734177215,2353.6202531645567,2.1104166666666737,155782.138369,20445148.5647756,2603077300218.0,61,53
2018-02-04,9175.7001953125,9334.8701171875,8031.22021484375,8277.009765625,7073549824.0,0.990487949438202,975.769662921348,1889.7022471910113,1.8914930555555622,155939.609068,23033142.0539877,2603077300218.0,61,44
2018-02-05,8270.5400390625,8364.83984375,6756.68017578125,6955.27001953125,9285289984.0,1.10273347027027,1169.52972972973,2247.118918918919,2.2826388888888967,156115.914121,23938939.775212,2603077300218.0,61,77
2018-02-06,7051.75,7850.7001953125,6048.259765625,7754.0,13999800320.0,1.06752445882353,1436.0,2974.335294117647,2.7333333333333396,156319.922493,24293141.3193202,2607870187292.06,61,100
2018-02-07,7755.490234375,8509.1103515625,7236.7900390625,7621.2998046875,9169280000.0,1.07172239007092,1515.73758865248,2856.0141843971633,2.463888888888896,156501.425303,20149017.2119067,2874674234415.0,61,61
